model,n_filters,n_blocks,macs,max_memory_size,params(M)
m1,8,2,2280032,1015,794
m2,8,4,3135184,1017,1402
m3,8,8,5259408,1019,5642
m4,8,16,9296848,1021,84842
m5,16,2,7440064,1021,2610
m6,16,4,10590624,1023,4850
m7,16,8,18682144,1025,21010
m8,16,16,34525088,1031,333010
m9,32,2,26400128,1031,9314
m10,32,4,38462272,1031,17890
m11,32,8,70017600,1037,80930
m12,32,16,132775744,1049,1319330
m13,64,2,98880256,1049,35010
m14,64,4,146048640,1049,68546
m15,64,8,270648448,1061,317506
m16,64,16,520453760,1099,5251906
m17,128,2,382080512,1119,135554
m18,128,4,568593664,1139,268162
m19,128,8,1063749888,1139,1257602
m20,128,16,2060516608,1241,20956802
